Date,Cases Rate - Total,Deaths Rate - Total,Cases Rate - Age 0-17,Cases Rate - Age 18-29,Cases Rate - Age 30-39,Cases Rate - Age 40-49,Cases Rate - Age 50-59,Cases Rate - Age 60-69,Cases Rate - Age 70-79,Cases Rate -  Age 80+,Cases Rate - Female,Cases Rate - Male,Cases Rate - Latinx,Cases Rate - Asian Non-Latinx,Cases Rate - Black Non-Latinx,Cases Rate - White Non-Latinx,Cases Rate - Other Race Non-Latinx,Deaths Rate - Age 0-17,Deaths Rate - Age 18-29,Deaths Rate - Age 30-39,Deaths Rate - Age 40-49,Deaths Rate - Age 50-59,Deaths Rate - Age 60-69,Deaths Rate - Age 70-79,Deaths Rate - Age 80+,Deaths Rate - Female,Deaths Rate - Male,Deaths Rate - Latinx,Deaths Rate - Asian Non-Latinx,Deaths Rate - Black Non-Latinx,Deaths Rate - White Non-Latinx,Deaths Rate - Other Race Non-Latinx,Cases - Total,Deaths - Total,Cases - Age 0-17,Cases - Age 18-29,Cases - Age 30-39,Cases - Age 40-49,Cases - Age 50-59,Cases - Age 60-69,Cases - Age 70-79,Cases -  Age 80+,Cases - Female,Cases - Male,Cases - Latinx,Cases - Asian Non-Latinx,Cases - Black Non-Latinx,Cases - White Non-Latinx,Cases - Other Race Non-Latinx,Deaths - Age 0-17,Deaths - Age 18-29,Deaths - Age 30-39,Deaths - Age 40-49,Deaths - Age 50-59,Deaths - Age 60-69,Deaths - Age 70-79,Deaths - Age 80+,Deaths - Female,Deaths - Male,Deaths - Latinx,Deaths - Asian Non-Latinx,Deaths - Black Non-Latinx,Deaths - White Non-Latinx,Deaths - Other Race Non-Latinx
09/28/2020,12,0.1,7.2,16.4,14.6,15.2,12.1,8.7,6.2,7.3,11.6,12,16.5,2.8,4.6,6.3,10.3,0,0,0,0.1,0.2,0.2,0.3,1.1,0.1,0.1,0.2,0,0.2,0,0,323.9,2.9,39.3,90.6,66.6,51.3,37.7,23,9.6,5.9,161.1,158.3,128.1,5,36.1,56.3,12.3,0,0,0.1,0.4,0.6,0.4,0.4,0.9,1.1,1.7,1.3,0,1.3,0.3,0
03/21/2020,4.4,0,0.3,3.6,5.5,7.3,6.5,6,6.1,4.3,3.9,5,1.9,3.4,6.5,4.4,2.3,0,0,0,0,0,0.1,0.1,0.5,0,0,0,0,0.1,0,0,120,1,1.4,19.7,25.1,24.7,20.4,15.7,9.4,3.4,53.9,65.7,15,6.1,51,39.3,2.7,0,0,0,0,0.1,0.3,0.1,0.4,0.4,0.6,0,0,0.9,0.1,0
03/22/2020,5.1,0,0.4,4.1,6.1,8.3,7.9,7,7,4.8,4.5,5.7,2.2,3.6,7.8,4.9,3,0,0,0,0,0.1,0.1,0.1,0.5,0,0.1,0,0,0.1,0,0.1,138.4,1.3,2.3,22.6,28,27.9,24.6,18.4,10.9,3.9,62.7,75.3,17.3,6.4,61,44.1,3.6,0,0,0,0.1,0.3,0.3,0.1,0.4,0.4,0.9,0,0,1,0.1,0.1
03/23/2020,6.2,0.1,0.5,4.9,7.2,9.8,9.9,8.3,9.8,6.6,5.6,6.9,2.8,4.1,9.8,5.6,4.3,0,0,0,0,0.1,0.1,0.2,0.5,0,0.1,0,0,0.2,0,0.1,168.9,1.6,2.7,27.1,33,32.9,30.9,21.7,15.3,5.3,77.6,90.9,21.6,7.4,76.6,50.4,5.1,0.1,0.1,0,0.1,0.3,0.1,0.3,0.4,0.3,1.3,0,0,1.3,0.1,0.1
03/24/2020,7.6,0.1,0.5,6,8.7,11.5,11.6,10.5,12.8,8.4,6.8,8.3,3.8,4.9,11.9,6.3,5,0,0,0,0,0,0.2,0.2,0.5,0,0.1,0,0,0.2,0,0.1,205.1,1.7,2.9,33.4,39.6,38.6,36.4,27.7,19.9,6.7,94.9,109.9,29.6,8.9,93.4,56.7,6,0.1,0.1,0,0.1,0.1,0.4,0.3,0.4,0.3,1.4,0.1,0,1.3,0.1,0.1
03/25/2020,8.7,0.1,0.5,6.6,9.9,12.8,14.3,11.4,15.1,11.1,7.8,9.6,4.4,5.1,14.1,6.7,6.8,0,0,0,0,0.1,0.2,0.2,0.7,0,0.1,0,0,0.2,0,0.1,234.4,2.3,2.9,36.3,45.1,43.1,44.9,29.9,23.4,8.9,107.6,126.3,33.9,9.1,110.6,60.1,8.1,0.1,0.1,0.1,0.1,0.3,0.6,0.3,0.6,0.6,1.7,0.3,0,1.6,0.3,0.1
04/19/2020,23.4,1.3,2.3,18,23.3,33.2,38.3,33.8,32.7,54.3,22.3,24.2,28.2,11.5,24.1,9.1,27.3,0,0.1,0.2,0.8,1.2,2.6,5.4,15.2,1,1.6,1.3,1.6,2.1,0.6,0.2,633.4,34.9,12.9,99.7,106.3,111.6,119.9,88.9,50.9,43.4,309,319.6,219.1,20.7,189.3,81.9,32.6,0,0.3,0.7,2.7,3.9,6.7,8.4,12.1,13.3,21.6,9.9,2.9,16.1,5.7,0.3
04/20/2020,25,1.3,2.7,19.6,25.4,36.7,39.8,35.6,33,54.8,23.6,26,31.3,11.6,24.8,9.4,28.8,0,0.1,0.2,0.6,1.3,2.4,5.7,16.8,1,1.7,1.3,1.6,2,0.8,0.4,676,35.9,14.9,108.1,115.9,123.6,124.7,93.6,51.3,43.9,327,343.1,242.7,20.9,194.7,85,34.4,0,0.3,0.7,2.1,4,6.4,8.9,13.4,13.3,22.6,9.9,2.9,15.9,6.9,0.4
04/21/2020,26.1,1.3,2.8,20.8,26.7,38.3,41.1,37.3,33.5,57.2,24.4,27.3,33.6,10.7,25,9.8,28.9,0,0.1,0.1,0.7,1.1,2.6,5.9,17.1,1,1.7,1.3,1.6,2.1,0.7,0.4,705.7,36.3,15.4,114.9,122,129,128.6,98,52,45.7,338.9,360,260.9,19.3,196.4,88.3,34.6,0,0.3,0.4,2.4,3.6,6.7,9.1,13.7,13.7,22.6,10.4,2.9,16.6,6,0.4
05/06/2020,36,1.7,8.2,33.8,38.8,56.7,52.7,40.8,35.9,57,34.7,35.5,56.8,9.4,20.1,10.1,32.3,0,0.1,0.2,0.3,1.3,4.2,7.7,20.4,1.4,2,1.9,1.4,2.3,1.1,0.1,973,46,45.1,186.7,176.9,190.7,164.9,107.4,55.7,45.6,481,468.7,441.3,16.9,158,90.6,38.6,0,0.4,0.9,1.1,4.1,11.1,12,16.3,19.3,26.7,14.7,2.4,18.1,10.3,0.1
05/07/2020,34.2,1.7,8.2,32.4,37.8,54.3,50.9,39,30.7,44.3,33.2,33.5,54.9,8.4,18.5,9.2,32.4,0,0.1,0.2,0.4,1.5,4.6,7.6,20.2,1.4,2.1,1.9,1.5,2.3,1.2,0.2,924.9,47.3,45.3,179.3,172.7,182.7,159.1,102.6,47.7,35.4,460.7,442.7,426.3,15.1,145.4,82.4,38.7,0,0.4,0.7,1.4,4.7,12,11.9,16.1,19.7,27.6,15.1,2.7,18.3,10.4,0.3
03/14/2020,0.6,0,0.1,0.6,0.8,0.8,0.8,0.7,0.7,0.5,0.5,0.7,0.2,0.5,0.4,1,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.4,0,0.6,3.4,3.6,2.9,2.6,1.9,1.1,0.4,6.6,9.6,1.9,0.9,3.3,9.3,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05/23/2020,25.3,1.2,10.1,28.6,26.3,34.5,33.8,25.8,22.7,32.3,25.4,24.5,40.2,5.9,15.4,6,22.5,0,0.1,0.2,0.4,1.3,3.3,5.2,11.6,0.9,1.5,1.7,0.9,1.3,0.8,0.1,684.7,32.7,55.7,158,120.1,116,105.9,67.9,35.3,25.9,352.4,324,312,10.6,120.9,53.9,26.9,0,0.4,1,1.3,4,8.6,8.1,9.3,12.9,19.9,12.9,1.6,10.6,7.4,0.1
05/24/2020,25.1,1.1,10.1,28.6,25.9,34.9,32.4,26,22.7,29.8,25.4,24.1,39.8,5.6,15,5.8,22.4,0,0.1,0.2,0.5,1.2,2.8,5.2,10.5,0.9,1.4,1.5,0.7,1.3,0.8,0,678.1,30.7,55.6,158.3,118,117.6,101.3,68.3,35.3,23.9,351.7,318.6,309,10,117.7,52,26.7,0,0.4,0.9,1.7,3.9,7.4,8,8.4,12.6,18.1,11.6,1.3,10.4,7.3,0
06/07/2020,9,0.7,3.6,9.7,9.7,11.8,11,9,8.9,16.4,9,8.6,13.3,2.5,6,2.6,9,0,0.1,0.2,0.2,0.4,1.6,3.5,8.9,0.7,0.8,1.1,0.4,1,0.3,0,242.9,19.9,20,53.7,44.3,39.6,34.6,23.7,13.9,13.1,125.1,113.7,103.4,4.6,46.9,23,10.7,0,0.3,0.7,0.7,1.3,4.3,5.4,7.1,9.1,10.7,8.4,0.7,7.9,2.7,0
