City,Cases,Case_rate,Deaths,Death_rate
Agoura Hills,164,785,1,5
Alhambra,1292,1490,28,32
Arcadia,514,890,34,59
Artesia,383,2280,10,60
Avalon,6,155,0,0
Azusa,1570,3137,23,46
Baldwin Park,3068,3996,89,116
Bell,1635,4500,41,113
Bell Gardens,2008,4662,22,51
Bellflower,2419,3112,60,77
Beverly Hills,701,2031,12,35
Bradbury,14,1310,0,0
Burbank,1613,1505,58,54
Calabasas,277,1139,12,49
Carson,1867,1989,63,67
Cerritos,577,1152,17,34
Claremont,391,1072,10,27
Commerce,596,4560,12,92
Compton,4105,4109,72,72
Covina,1443,2943,46,94
Cudahy,1119,4596,18,74
Culver City,396,993,29,73
Diamond Bar,559,972,10,17
Downey,4207,3682,87,76
Duarte,578,2625,30,136
El Monte,4423,3772,164,140
El Segundo,132,786,1,6
Gardena,1273,2076,53,86
Glendale,3854,1866,178,86
Glendora,1270,2407,73,138
Hawaiian Gardens,538,3666,2,14
Hawthorne,1968,2217,47,53
Hermosa Beach,217,1103,4,20
Hidden Hills,8,423,0,0
Huntington Park,2995,5035,59,99
Industry,36,8238,2,458
Inglewood,2910,2562,91,80
Irwindale,68,4661,2,137
La Canada Flintridge,185,894,7,34
La Habra Heights,44,807,0,0
La Mirada,864,1742,26,52
La Puente,1544,3794,23,57
La Verne,490,1472,12,36
Lakewood,1319,1641,14,17
Lancaster,3536,2189,58,36
Lawndale,642,1910,11,33
Lomita,241,1163,9,43
Lynwood,3378,4689,102,142
Malibu,104,802,3,23
Manhattan Beach,365,1014,5,14
Maywood,1458,5198,33,118
Monrovia,766,1974,41,106
Montebello,2351,3652,52,81
Monterey Park,981,1576,47,75
Norwalk,3334,3098,79,73
Palmdale,4225,2658,76,48
Palos Verdes Estates,101,747,2,15
Paramount,2444,4362,29,52
Pico Rivera,2464,3833,75,117
Pomona,5608,3596,134,86
Rancho Palos Verdes,314,735,13,30
Redondo Beach,564,821,11,16
Rolling Hills,12,619,0,0
Rolling Hills Estates,43,530,2,25
Rosemead,842,1521,32,58
San Dimas,541,1567,14,41
San Fernando,961,3905,19,77
San Gabriel,658,1607,64,156
San Marino,91,685,2,15
Santa Clarita,3575,1622,54,24
Santa Fe Springs,575,3131,4,22
Santa Monica,894,967,41,44
Sierra Madre,78,710,3,27
Signal Hill,281,2382,3,25
South El Monte,808,3869,16,77
South Gate,4522,4607,69,70
South Pasadena,289,1109,26,100
Temple City,537,1473,41,112
Torrance,1455,975,70,47
Vernon,12,5742,0,0
Walnut,280,917,4,13
West Covina,2955,2730,66,61
West Hollywood,580,1570,5,14
Westlake Village,34,407,0,0
Whittier,2297,2627,36,41
Los Angeles,110844,2741,2796,69
Adams-Normandie,269,3280,4,49
Alsace,379,3045,3,24
Angeles National Forest,2,5000,0,0
Angelino Heights,76,3038,1,40
Arleta,1485,4321,26,76
Atwater Village,242,1650,7,48
Baldwin Hills,622,1998,28,90
Bel Air,95,1127,0,0
Beverly Crest,129,1030,2,16
Beverlywood,168,1275,0,0
Boyle Heights,4322,4974,69,79
Brentwood,298,963,3,10
Brookside,3,516,0,0
Cadillac-Corning,133,1868,1,14
Canoga Park,1943,2976,58,89
Carthay,221,1539,15,104
Central,2195,5629,41,105
Century City,119,930,0,0
Century Palms/Cove,1509,4469,22,65
Chatsworth,688,1856,35,94
Cheviot Hills,82,894,2,22
Chinatown,120,1496,3,37
Cloverdale/Cochran,303,2082,5,34
Country Club Park,372,2455,27,178
Crenshaw District,306,2213,3,22
Crestview,193,1698,20,176
Del Rey,361,1206,10,33
Downtown,833,3028,15,55
