OBJECTID,ZIP,SHAPE_AREA,SHAPE_LEN
33,60647,"106,052,287.49","42,720.04"
34,60639,"127,476,050.76","48,103.78"
35,60707,"45,069,038.48","27,288.61"
36,60622,"70,853,834.38","42,527.99"
37,60651,"99,039,621.25","47,970.14"
38,60611,"23,506,055.73","34,689.35"
39,60638,"166,166,339.10","67,710.65"
40,60652,"128,309,832.19","48,187.95"
1,60626,"49,170,578.96","33,983.91"
8,60615,"66,565,454.85","38,321.31"
9,60621,"104,746,821.07","42,299.92"
2,60645,"62,181,473.52","32,075.60"
13,60643,"183,013,076.26","59,337.81"
3,60660,"37,984,388.84","27,307.81"
43,60628,"345,241,692.17","83,748.99"
5,60625,"105,830,918.02","42,524.11"
6,60641,"113,903,341.11","42,682.98"
7,60657,"63,547,755.92","45,646.49"
10,60636,"104,114,706.69","42,448.28"
14,60633,"187,526,657.19","59,703.22"
15,60643,"3,136,688.22","7,175.09"
16,60612,"106,718,949.39","42,663.20"
48,60604,"4,294,901.99","12,245.81"
17,60624,"99,418,122.47","40,394.41"
18,60644,"99,092,221.54","40,030.84"
49,60655,"115,380,139.15","77,392.32"
19,60603,"4,560,228.98","13,672.68"
20,60605,"36,301,276.35","37,973.35"
21,60653,"67,759,827.81","34,316.36"
22,60609,"213,490,325.26","58,540.92"
23,60666,"282,085,137.58","101,876.55"
24,60618,"141,235,867.55","47,847.08"
25,60616,"109,667,069.37","45,823.54"
26,60602,"4,847,124.82","14,448.17"
27,60601,"9,166,245.80","19,804.58"
28,60608,"176,505,462.52","53,169.22"
29,60607,"64,664,293.94","39,143.64"
30,60661,"9,357,755.68","13,132.57"
31,60606,"6,766,410.90","12,040.44"
44,60827,"48,551,330.39","28,833.96"
46,60642,"47,961,494.40","31,296.23"
50,60659,"69,698,411.44","38,931.53"
51,60707,"3,450,671.14","7,909.89"
53,60613,"53,990,894.88","31,196.32"
54,60610,"31,598,157.09","24,208.70"
55,60654,"15,869,961.35","17,119.70"
56,60632,"211,755,252.57","63,253.24"
57,60623,"155,285,532.01","53,406.92"
58,60629,"211,114,779.44","58,701.33"
59,60620,"211,696,050.97","58,466.16"
60,60637,"125,424,284.17","52,377.85"
61,60619,"167,872,012.64","53,040.91"
