,City,Cases,Case_rate,Deaths,Death_rate,Number_of_restaurants,Population,Restaurants_per1k
0,AGOURA HILLS,164.0,785.0,1,5,2.0,20892.0,0.09573042312847023
1,ALHAMBRA,1292.0,1490.0,28,32,1.0,86711.0,0.011532562189341606
6,BALDWIN PARK,3068.0,3996.0,89,116,3.0,76777.0,0.039074201909426
7,BELL,1635.0,4500.0,41,113,1.0,36333.0,0.027523188286131064
8,BELL GARDENS,2008.0,4662.0,22,51,1.0,43072.0,0.023216939078751855
9,BELLFLOWER,2419.0,3112.0,60,77,1.0,77731.0,0.012864880163641276
10,BEVERLY HILLS,701.0,2031.0,12,35,8.0,34515.0,0.23178328263074027
12,BURBANK,1613.0,1505.0,58,54,10.0,107176.0,0.09330447115025751
13,CALABASAS,277.0,1139.0,12,49,4.0,24320.0,0.1644736842105263
18,COMPTON,4105.0,4109.0,72,72,1.0,99903.0,0.01000970941813559
20,CUDAHY,1119.0,4596.0,18,74,1.0,24347.0,0.041072822113607424
21,CULVER CITY,396.0,993.0,29,73,31.0,39879.0,0.7773514882519622
23,DOWNEY,4207.0,3682.0,87,76,3.0,114259.0,0.02625613737211073
25,EL MONTE,4423.0,3772.0,164,140,1.0,117259.0,0.008528130036926804
26,EL SEGUNDO,132.0,786.0,1,6,3.0,16794.0,0.1786352268667381
27,GARDENA,1273.0,2076.0,53,86,27.0,61320.0,0.4403131115459883
28,GLENDALE,3854.0,1866.0,178,86,5.0,206538.0,0.02420862020548277
31,HAWTHORNE,1968.0,2217.0,47,53,2.0,88769.0,0.02253038786062702
34,HUNTINGTON PARK,2995.0,5035.0,59,99,1.0,59484.0,0.016811243359558872
36,INGLEWOOD,2910.0,2562.0,91,80,1.0,113583.0,0.008804134421524348
41,LA PUENTE,1544.0,3794.0,23,57,1.0,40696.0,0.024572439551798705
44,LANCASTER,3536.0,2189.0,58,36,2.0,161535.0,0.012381217692760084
45,LAWNDALE,642.0,1910.0,11,33,1.0,33613.0,0.029750394192723056
46,LOMITA,241.0,1163.0,9,43,4.0,20722.0,0.19303156066016794
47,LYNWOOD,3378.0,4689.0,102,142,1.0,72041.0,0.013880984439416443
48,MALIBU,104.0,802.0,3,23,1.0,12968.0,0.07711289327575571
52,MONTEBELLO,2351.0,3652.0,52,81,3.0,64376.0,0.046601217845159686
53,MONTEREY PARK,981.0,1576.0,47,75,1.0,62246.0,0.01606528933586094
55,PALMDALE,4225.0,2658.0,76,48,2.0,158954.0,0.012582256501881047
57,PARAMOUNT,2444.0,4362.0,29,52,1.0,56029.0,0.01784790019454211
60,RANCHO PALOS VERDES,314.0,735.0,13,30,3.0,42721.0,0.07022307530254442
61,REDONDO BEACH,564.0,821.0,11,16,1.0,68697.0,0.014556676419639869
63,ROLLING HILLS ESTATES,43.0,530.0,2,25,1.0,8113.0,0.12325896708985579
64,ROSEMEAD,842.0,1521.0,32,58,1.0,55358.0,0.018064236424726324
66,SAN FERNANDO,961.0,3905.0,19,77,12.0,24609.0,0.48762647811776183
67,SAN GABRIEL,658.0,1607.0,64,156,4.0,40946.0,0.09768964001367654
69,SANTA CLARITA,3575.0,1622.0,54,24,8.0,220407.0,0.03629648786109334
71,SANTA MONICA,894.0,967.0,41,44,14.0,92451.0,0.15143156915555267
75,SOUTH GATE,4522.0,4607.0,69,70,2.0,98155.0,0.0203759360195609
78,TORRANCE,1455.0,975.0,70,47,42.0,149231.0,0.2814428637481488
79,VERNON,12.0,5742.0,0,0,3.0,209.0,14.354066985645934
82,WEST HOLLYWOOD,580.0,1570.0,5,14,26.0,36943.0,0.7037869149771269
83,WESTLAKE VILLAGE,34.0,407.0,0,0,2.0,8354.0,0.23940627244433804
84,WHITTIER,2297.0,2627.0,36,41,3.0,87438.0,0.03431002538941879
85,LOS ANGELES,110844.0,2741.0,2796,69,4154.0,4043926.0,1.0272195880933528
90,ARLETA,1485.0,4321.0,26,76,23.0,34367.0,0.6692466610411151
92,BALDWIN HILLS,622.0,1998.0,28,90,1.0,31131.0,0.03212232180141981
100,CANOGA PARK,1943.0,2976.0,58,89,117.0,65289.0,1.7920323484813676
105,CHATSWORTH,688.0,1856.0,35,94,71.0,37069.0,1.9153470554911112
114,EAGLE ROCK,681.0,1720.0,25,63,4.0,39593.0,0.10102795948778824
120,ENCINO,621.0,1375.0,18,40,111.0,45164.0,2.4577096802763263
128,GRANADA HILLS,1231.0,2115.0,65,112,61.0,58203.0,1.048055942133567
131,HARBOR CITY,510.0,1754.0,11,38,26.0,29076.0,0.894208281744394
136,HIGHLAND PARK,1126.0,2327.0,20,41,4.0,48388.0,0.08266512358435976
138,HOLLYWOOD,1236.0,1811.0,14,21,13.0,68250.0,0.1904761904761905
144,LAKE BALBOA,1068.0,2530.0,20,47,7.0,42213.0,0.16582569350673962
160,MISSION HILLS,810.0,3358.0,43,178,23.0,24122.0,0.9534864439101235
162,NORTH HILLS,1867.0,3032.0,46,75,42.0,61577.0,0.6820728518765123
163,NORTH HOLLYWOOD,4006.0,2646.0,69,46,176.0,151398.0,1.1624988441062631
164,NORTHRIDGE,1460.0,2092.0,43,62,190.0,69790.0,2.722453073506233
165,PACIFIC PALISADES,134.0,629.0,4,19,28.0,21304.0,1.3143071723619977
166,PACOIMA,3548.0,4609.0,50,65,60.0,76980.0,0.779423226812159
169,PANORAMA CITY,3003.0,3991.0,89,118,79.0,75244.0,1.0499176014034342
172,PLAYA DEL REY,29.0,907.0,0,0,16.0,3197.0,5.00469189865499
173,PLAYA VISTA,143.0,1306.0,0,0,11.0,10949.0,1.0046579596310166
174,PORTER RANCH,388.0,1090.0,6,17,10.0,35596.0,0.28093044162265424
177,RESEDA,2222.0,2900.0,84,110,99.0,76621.0,1.2920739744978529
180,SAN PEDRO,1962.0,2514.0,29,37,103.0,78043.0,1.3197852465948259
182,SHERMAN OAKS,1107.0,1269.0,27,31,160.0,87234.0,1.8341472361693836
187,STUDIO CITY,254.0,1132.0,8,36,122.0,22438.0,5.437204741955611
188,SUN VALLEY,1702.0,3243.0,30,57,50.0,52482.0,0.9527075949849472
189,SUNLAND,470.0,2303.0,30,147,24.0,20408.0,1.1760094080752646
191,SYLMAR,3337.0,4050.0,84,102,54.0,82395.0,0.6553795740032768
192,TARZANA,684.0,2215.0,37,120,88.0,30880.0,2.849740932642487
195,TOLUCA LAKE,108.0,1241.0,0,0,20.0,8703.0,2.298058140870964
198,TUJUNGA,527.0,1895.0,14,50,26.0,27810.0,0.9349154980222941
201,VALLEY GLEN,680.0,2265.0,21,70,4.0,30022.0,0.13323562720671508
202,VALLEY VILLAGE,536.0,2168.0,25,101,27.0,24723.0,1.0921004732435384
203,VAN NUYS,3076.0,3301.0,93,100,249.0,93184.0,2.672132554945055
204,VENICE,299.0,882.0,3,9,90.0,33900.0,2.6548672566371683
