,OBJECTID,ZIP,SHAPE_AREA,SHAPE_LEN,Number_of_bars
0,33,60647,"106,052,287.49","42,720.04",1151.0
1,34,60639,"127,476,050.76","48,103.78",299.0
2,35,60707,"45,069,038.48","27,288.61",98.0
3,36,60622,"70,853,834.38","42,527.99",1131.0
4,37,60651,"99,039,621.25","47,970.14",36.0
5,38,60611,"23,506,055.73","34,689.35",1853.0
6,39,60638,"166,166,339.10","67,710.65",302.0
7,40,60652,"128,309,832.19","48,187.95",85.0
8,1,60626,"49,170,578.96","33,983.91",329.0
9,8,60615,"66,565,454.85","38,321.31",222.0
10,9,60621,"104,746,821.07","42,299.92",40.0
11,2,60645,"62,181,473.52","32,075.60",63.0
12,13,60643,"183,013,076.26","59,337.81",129.0
13,3,60660,"37,984,388.84","27,307.81",234.0
14,43,60628,"345,241,692.17","83,748.99",68.0
15,5,60625,"105,830,918.02","42,524.11",454.0
16,6,60641,"113,903,341.11","42,682.98",286.0
17,7,60657,"63,547,755.92","45,646.49",1518.0
18,10,60636,"104,114,706.69","42,448.28",28.0
19,14,60633,"187,526,657.19","59,703.22",53.0
20,15,60643,"3,136,688.22","7,175.09",129.0
21,16,60612,"106,718,949.39","42,663.20",200.0
22,48,60604,"4,294,901.99","12,245.81",190.0
23,17,60624,"99,418,122.47","40,394.41",27.0
24,18,60644,"99,092,221.54","40,030.84",27.0
25,49,60655,"115,380,139.15","77,392.32",110.0
26,19,60603,"4,560,228.98","13,672.68",403.0
27,20,60605,"36,301,276.35","37,973.35",700.0
28,21,60653,"67,759,827.81","34,316.36",90.0
29,22,60609,"213,490,325.26","58,540.92",179.0
30,23,60666,"282,085,137.58","101,876.55",265.0
31,24,60618,"141,235,867.55","47,847.08",810.0
32,25,60616,"109,667,069.37","45,823.54",611.0
33,26,60602,"4,847,124.82","14,448.17",205.0
34,27,60601,"9,166,245.80","19,804.58",723.0
35,28,60608,"176,505,462.52","53,169.22",381.0
36,29,60607,"64,664,293.94","39,143.64",1137.0
37,30,60661,"9,357,755.68","13,132.57",384.0
38,31,60606,"6,766,410.90","12,040.44",297.0
39,44,60827,"48,551,330.39","28,833.96",0.0
40,46,60642,"47,961,494.40","31,296.23",544.0
41,50,60659,"69,698,411.44","38,931.53",193.0
42,51,60707,"3,450,671.14","7,909.89",98.0
43,53,60613,"53,990,894.88","31,196.32",933.0
44,54,60610,"31,598,157.09","24,208.70",1258.0
45,55,60654,"15,869,961.35","17,119.70",1419.0
46,56,60632,"211,755,252.57","63,253.24",312.0
47,57,60623,"155,285,532.01","53,406.92",226.0
48,58,60629,"211,114,779.44","58,701.33",135.0
49,59,60620,"211,696,050.97","58,466.16",83.0
50,60,60637,"125,424,284.17","52,377.85",107.0
51,61,60619,"167,872,012.64","53,040.91",158.0
